temperature_deg,weather,rainfall_mm,river_level_m,wind_kmph,soil_moisture,past_floods,risk_level
29.6,Rainy,46.5,0.54,137.6,95.7,2,Severe
16.3,Rainy,253.4,7.8,3.5,94.3,1,High
18.1,Sunny,279.1,13.83,128.3,49.9,4,Severe
32.3,Stormy,345.8,14.27,28.8,43.9,4,Severe
33.4,Cloudy,230.3,9.17,84.2,63.7,4,High
18.2,Windy,92.1,2.72,72.5,1.5,5,Medium
35.4,Cloudy,335.4,6.44,51.9,47.3,3,High
38.2,Stormy,235.8,5.31,67.1,79.1,2,Severe
25.7,Stormy,81.0,0.95,76.2,12.5,3,Severe
27.1,Sunny,70.1,11.11,108.7,30.8,0,High
17.0,Rainy,133.0,6.87,40.3,12.7,3,Medium
27.2,Stormy,177.3,4.93,7.5,34.2,5,Severe
15.1,Cloudy,384.5,5.6,72.6,39.9,2,High
31.1,Stormy,2.3,1.1,80.5,64.5,4,Severe
44.8,Rainy,498.2,7.79,31.2,68.6,1,Severe
30.6,Sunny,297.8,6.28,73.0,72.1,5,High
44.1,Sunny,342.9,1.14,38.6,4.0,2,High
15.7,Windy,0.7,12.06,136.2,75.9,5,Severe
43.6,Sunny,330.3,3.42,96.4,24.7,3,High
28.6,Stormy,353.0,6.34,148.9,11.3,2,Severe
35.7,Sunny,466.8,9.84,5.2,3.9,5,Severe
42.5,Sunny,25.5,8.98,115.0,75.0,2,High
29.4,Stormy,24.3,5.1,103.6,86.5,3,Severe
33.6,Stormy,76.1,12.65,24.4,49.1,3,Severe
21.6,Sunny,434.4,2.29,98.8,47.1,5,Severe
16.3,Cloudy,48.7,0.24,28.3,57.1,3,Medium
35.8,Rainy,159.5,5.29,125.7,55.6,1,Severe
44.2,Sunny,106.8,2.37,56.6,80.9,0,Medium
33.2,Stormy,475.4,14.15,94.0,30.9,1,Severe
26.3,Rainy,428.5,7.65,78.5,11.7,2,Severe
44.0,Windy,348.5,7.16,59.1,60.6,3,High
32.4,Sunny,158.7,4.3,40.5,2.7,3,Medium
28.6,Windy,489.1,13.02,115.5,56.6,4,Severe
19.0,Windy,177.4,9.87,69.1,24.0,2,High
19.8,Cloudy,431.4,0.96,147.2,57.7,5,Severe
25.8,Stormy,245.7,6.62,88.3,4.3,1,Severe
19.2,Sunny,18.7,10.71,75.1,99.7,1,High
38.4,Sunny,194.1,2.63,100.9,79.2,5,High
27.0,Cloudy,423.6,6.16,101.2,25.7,3,Severe
26.0,Stormy,239.0,13.45,126.0,20.0,5,Severe
20.3,Windy,475.6,5.54,44.8,26.6,5,Severe
19.2,Rainy,234.8,8.12,92.6,96.9,3,High
21.3,Rainy,203.7,12.63,6.3,8.1,4,Severe
15.5,Rainy,466.9,13.45,70.2,56.6,0,Severe
25.9,Cloudy,159.7,0.33,108.6,0.9,1,High
37.8,Windy,176.8,14.31,123.2,69.6,1,Severe
36.9,Rainy,488.3,8.63,105.1,41.4,1,Severe
23.4,Stormy,413.7,13.55,29.3,59.7,4,Severe
36.3,Sunny,494.2,14.07,71.8,50.6,2,Severe
44.7,Rainy,206.2,11.97,31.8,13.8,2,High
35.1,Windy,316.9,12.73,21.8,53.8,4,Severe
35.0,Rainy,20.5,1.54,47.6,39.1,5,Medium
34.6,Windy,337.6,6.06,28.1,39.8,0,High
22.4,Cloudy,352.5,9.04,119.1,0.2,2,High
39.0,Stormy,30.1,3.04,79.7,44.6,1,Severe
43.1,Cloudy,297.3,1.3,9.0,37.6,5,High
40.5,Cloudy,181.8,1.79,139.8,63.9,1,Severe
17.0,Sunny,379.3,9.9,6.1,51.8,4,High
41.6,Sunny,97.8,12.51,42.8,91.4,5,Severe
28.3,Cloudy,392.7,4.17,45.0,12.6,4,High
35.8,Stormy,276.5,11.45,108.9,86.1,0,Severe
41.4,Cloudy,291.2,13.96,139.7,13.2,5,Severe
33.3,Windy,178.3,14.88,91.1,15.2,4,Severe
23.4,Rainy,414.3,11.95,61.5,83.2,3,Severe
19.6,Rainy,83.6,0.9,107.7,47.2,0,High
39.1,Cloudy,104.1,5.2,21.2,6.5,0,Medium
40.7,Stormy,130.1,13.44,3.5,22.1,2,Severe
28.4,Rainy,391.1,0.7,29.5,77.6,0,High
24.8,Sunny,164.9,3.34,25.0,22.2,4,Medium
41.6,Stormy,491.8,0.82,129.3,92.2,4,Severe
24.3,Rainy,159.4,13.1,79.3,65.6,1,Severe
42.8,Rainy,461.9,5.29,12.3,6.8,3,Severe
21.7,Stormy,55.0,0.0,38.2,76.9,5,Severe
34.0,Rainy,234.7,2.86,128.8,35.9,3,Severe
31.5,Rainy,167.8,5.92,9.1,72.3,2,Medium
38.4,Stormy,239.8,0.18,17.3,46.2,5,Severe
36.2,Windy,31.5,11.23,7.8,24.5,5,High
30.2,Sunny,367.8,14.91,95.4,56.9,3,Severe
19.9,Rainy,162.8,11.79,44.9,37.4,0,High
38.3,Cloudy,44.1,5.88,75.0,56.0,2,Medium
